end_time,run,gain_set,gain_actual,signal,peak_signal,noise,snr,modes,bad,p_bad,messages_valid,max_distance
1701179485.0,30,43.4,43.4,-16.7,-5.6,-30.7,14.0,1761377,1230138,0.698,17615,426627
1701179555.0,30,32.8,32.8,-20.9,-4.4,-37.1,16.2,507016,303589,0.599,11794,441158
1701179635.0,30,44.5,44.5,-13.7,-1.6,-30.0,16.3,1812377,1265030,0.698,15900,337998
1701179705.0,30,29.7,29.7,-18.4,-1.6,-36.2,17.8,475362,271277,0.571,21616,324812
1701179785.0,30,15.7,15.7,-16.7,-4.7,-42.8,26.1,80328,42398,0.528,3845,183182
1701179855.0,30,16.6,16.6,-21.4,-7.0,-43.4,22.0,110563,58336,0.528,5302,192143
1701179935.0,30,19.7,19.7,-23.1,-8.0,-42.8,19.7,144555,73863,0.511,6985,283375
1701180005.0,30,36.4,36.4,-17.6,-2.6,-32.6,15.0,878672,557331,0.634,14509,390815
1701180085.0,30,38.6,38.6,-18.8,-6.9,-29.6,10.8,1267947,834196,0.658,16386,409225
1701180155.0,30,37.2,37.2,-19.8,-8.5,-30.5,10.7,1264492,825301,0.653,19710,423649
1701180235.0,30,20.7,20.7,-30.8,-14.0,-41.5,10.7,235773,121612,0.516,12780,242273
1701180305.0,30,42.1,42.1,-15.6,-4.0,-29.2,13.6,1755228,1204648,0.686,17540,408870
1701180385.0,30,28.0,28.0,-26.1,-14.8,-37.3,11.2,454161,257419,0.567,19507,393660
1701180455.0,30,-10,59.0,-6.0,-1.1,-20.0,14.0,3060525,2233802,0.73,20642,379483
1701180535.0,30,22.9,22.9,-26.1,-14.5,-39.6,13.5,294838,161238,0.547,12405,313430
1701180615.0,30,43.9,43.9,-13.5,-2.0,-26.9,13.4,2028416,1411641,0.696,21086,428240
1701180685.0,30,48.0,48.0,-13.6,-0.9,-26.1,12.5,2151950,1511332,0.702,23954,448015
1701180765.0,30,49.6,49.6,-14.2,-1.3,-25.0,10.8,2223702,1562550,0.703,21459,427631
