end_time,run,gain_set,gain_actual,signal,peak_signal,noise,snr,modes,bad,p_bad,messages_valid,max_distance
1701197755.0,7,40.2,40.2,-9.8,-1.0,-19.6,9.8,4715543,3365432,0.714,57811,438979
1701197835.0,7,36.4,36.4,-11.2,-1.0,-21.7,10.5,3753164,2585623,0.689,61512,426741
1701197905.0,7,43.4,43.4,-8.5,-0.8,-18.3,9.8,4905606,3541350,0.722,61563,441663
1701197985.0,7,29.7,29.7,-12.9,-1.8,-24.5,11.6,2906373,1920682,0.661,58260,387630
1701198055.0,7,49.6,49.6,-7.8,-0.9,-17.6,9.8,5395112,3920574,0.727,65917,418977
1701198135.0,7,33.8,33.8,-11.5,-1.2,-22.3,10.8,3881209,2660122,0.685,60591,448064
1701198215.0,7,-10,59.0,-4.3,-0.9,-10.9,6.6,5613071,4149252,0.739,49607,459925
1701198285.0,7,43.9,43.9,-7.8,-0.9,-17.4,9.6,5242244,3794708,0.724,56627,433060
1701198365.0,7,48.0,48.0,-7.2,-0.9,-16.5,9.3,5514656,4010110,0.727,59322,403624
1701198435.0,7,38.6,38.6,-8.8,-1.0,-18.9,10.1,4721294,3348672,0.709,61165,406566
1701198515.0,7,32.8,32.8,-10.4,-0.9,-21.4,11.0,3716203,2503938,0.674,61950,374542
1701198585.0,7,37.2,37.2,-9.0,-1.0,-19.4,10.4,4475820,3140336,0.702,64774,381969
1701198665.0,8,43.4,43.4,-7.7,-0.8,-17.0,9.3,5229735,3782099,0.723,63953,393642
1701198735.0,8,44.5,44.5,-7.6,-0.9,-16.8,9.2,5171061,3742645,0.724,64518,391757
1701198815.0,8,42.1,42.1,-8.0,-0.8,-18.1,10.1,5040143,3623151,0.719,62050,411738
1701198885.0,8,36.4,36.4,-10.1,-0.9,-20.7,10.6,4054918,2787216,0.687,61063,419958
1701198965.0,8,33.8,33.8,-10.2,-1.0,-21.3,11.1,3955051,2714471,0.686,59596,415326
1701199035.0,8,29.7,29.7,-11.3,-1.1,-23.2,11.9,3589115,2370034,0.66,63349,433440
1701199115.0,8,40.2,40.2,-9.0,-0.9,-19.4,10.4,4848866,3442293,0.71,61119,534172
1701199185.0,8,49.6,49.6,-7.6,-0.9,-17.0,9.4,5569092,4035652,0.725,58330,435257
1701199265.0,8,38.6,38.6,-10.4,-0.9,-20.7,10.3,4634597,3258115,0.703,58116,401471
1701199345.0,8,37.2,37.2,-10.9,-1.1,-21.4,10.5,4251414,2952500,0.694,59043,414422
1701199415.0,8,43.9,43.9,-9.0,-0.7,-18.5,9.5,5175051,3735543,0.722,57599,451836
1701199495.0,8,28.0,28.0,-14.8,-1.7,-27.3,12.5,2788751,1783423,0.64,52495,380890
1701199565.0,8,32.8,32.8,-12.8,-1.0,-24.4,11.6,3653331,2443850,0.669,53333,416345
1701199645.0,8,-10,59.0,-4.4,-0.8,-11.0,6.6,5975911,4405459,0.737,47667,418243
1701199715.0,8,25.4,25.4,-17.6,-1.2,-29.8,12.2,2193766,1346824,0.614,46346,385740
1701199795.0,8,48.0,48.0,-9.5,-1.0,-18.2,8.7,5585382,4053731,0.726,53990,455125
1701199865.0,9,43.4,43.4,-9.2,-1.0,-18.7,9.5,5343803,3854773,0.721,56379,438416
1701199945.0,9,29.7,29.7,-14.8,-2.1,-25.8,11.0,3305876,2141222,0.648,56193,420742
1701200015.0,9,25.4,25.4,-16.3,-3.0,-28.3,12.0,2431370,1512819,0.622,49909,400906
1701200095.0,9,43.9,43.9,-8.3,-0.8,-17.5,9.2,5418482,3912351,0.722,57098,497345
1701200165.0,9,36.4,36.4,-10.3,-0.9,-20.3,10.0,4219116,2910408,0.69,56199,473401
1701200245.0,9,40.2,40.2,-8.8,-0.9,-18.5,9.7,5082845,3635520,0.715,54680,447858
1701200315.0,9,38.6,38.6,-9.9,-0.8,-19.6,9.7,5097578,3582214,0.703,58368,458523
1701200395.0,9,49.6,49.6,-7.6,-0.9,-16.4,8.8,5885355,4278055,0.727,53235,466422
1701200465.0,9,33.8,33.8,-11.0,-1.0,-22.0,11.0,4584329,3177016,0.693,53843,408376
1701200545.0,9,42.1,42.1,-8.4,-0.7,-18.5,10.1,5341325,3847170,0.72,53476,457566
1701200625.0,9,48.0,48.0,-7.3,-0.9,-16.5,9.2,5817606,4247240,0.73,53105,514458
1701200695.0,9,32.8,32.8,-10.9,-1.0,-22.1,11.2,4068244,2769075,0.681,51614,380304
1701200775.0,9,-10,59.0,-4.5,-0.8,-10.8,6.3,6069776,4481973,0.738,40256,459572
1701200845.0,9,37.2,37.2,-10.1,-0.8,-20.3,10.2,4645920,3273716,0.705,49290,371944
1701200925.0,9,28.0,28.0,-12.1,-1.2,-24.0,11.9,3321328,2184277,0.658,44190,366305
1701200995.0,9,44.5,44.5,-8.5,-1.0,-17.9,9.4,5782391,4206530,0.727,49154,414819
1701201075.0,10,29.7,29.7,-12.6,-1.1,-24.2,11.6,3699237,2476461,0.669,44090,384618
1701201145.0,10,48.0,48.0,-8.1,-1.0,-17.2,9.1,6019126,4394860,0.73,45703,438549
1701201225.0,10,-10,59.0,-4.3,-0.9,-11.2,6.9,6228390,4613755,0.741,41146,411029
1701201295.0,10,49.6,49.6,-7.9,-1.0,-17.4,9.5,6005076,4379230,0.729,47499,442849
1701201375.0,10,33.8,33.8,-11.9,-1.8,-22.9,11.0,4032471,2756207,0.684,49013,436055
1701201445.0,10,38.6,38.6,-10.8,-1.0,-20.5,9.7,4945836,3497119,0.707,47576,457486
1701201525.0,10,43.9,43.9,-8.5,-0.9,-17.9,9.4,5511325,3988097,0.724,51849,421546
1701201595.0,10,37.2,37.2,-10.4,-0.9,-20.2,9.8,4846648,3393085,0.7,53295,436734
1701201675.0,10,44.5,44.5,-7.9,-0.9,-16.9,9.0,5644087,4100800,0.727,49639,413989
1701201755.0,10,25.4,25.4,-13.6,-1.5,-25.6,12.0,2791591,1763204,0.632,42310,394398
1701201825.0,10,36.4,36.4,-10.2,-1.0,-20.2,10.0,4648038,3233135,0.696,47709,409327
1701201905.0,10,28.0,28.0,-13.4,-1.6,-23.1,9.7,3479265,2276577,0.654,44723,395152
1701201975.0,10,32.8,32.8,-11.7,-1.1,-21.4,9.7,3921680,2650089,0.676,46320,443781
1701202055.0,10,42.1,42.1,-8.4,-1.0,-17.3,8.9,5201777,3754652,0.722,48347,461342
1701202125.0,10,43.4,43.4,-8.0,-0.8,-16.6,8.6,5600714,4066411,0.726,46258,440433
1701202205.0,10,40.2,40.2,-9.2,-1.0,-18.0,8.8,5213478,3736074,0.717,46790,491974
1701202275.0,11,32.8,32.8,-11.4,-1.0,-21.1,9.7,4018518,2766799,0.689,44758,416834
1701202355.0,11,-10,59.0,-4.4,-0.7,-10.8,6.4,5906426,4370657,0.74,38690,431879
1701202425.0,11,40.2,40.2,-9.8,-1.0,-19.1,9.3,5228917,3751646,0.717,44044,399962
1701202505.0,11,25.4,25.4,-14.5,-2.4,-26.9,12.4,2704671,1752549,0.648,36828,371758
1701202575.0,11,43.9,43.9,-8.1,-1.0,-17.1,9.0,6382601,4681470,0.733,43166,434118
